,Point A,Point B,Point C,Point D,Point E,Error Classification
0,1.373475013,0.958978277,0.836789855,1.502963124,0.978804089,0
1,1.940212885,1.371291257,1.743612394,1.315589476,2.017418106,1
2,1.690367729,2.025028002,2.025213883,1.518277909,1.934395833,0
3,1.542669197,1.888478222,1.6414499,1.641526019,2.55087113,1
4,1.429971343,1.580947742,1.82088757,1.274735497,1.757213168,0
5,2.213877608,1.664721674,1.610843141,1.779370059,2.059791942,1
6,1.854137843,1.429953446,1.75509425,1.35157093,1.642409361,2
7,2.144683607,1.499122148,1.451022674,1.610177444,2.245727712,1
8,1.536226759,1.955290505,1.80666954,1.871673667,2.512082721,0
9,0.431129503,0.630933317,0.44421555,0.714260087,0.399185211,4
10,1.858498654,1.500081658,1.222626402,1.475948112,1.475948112,1
11,1.123276645,1.7536108,1.512111215,1.080368957,1.571863333,0
12,2.242628269,2.903572832,1.9686499,2.106148199,2.898728251,2
13,0.868391425,0.92559542,0.868391425,0.932047134,2.002385053,0
14,0.681033967,0.428609722,0.422984575,0.684435147,0.423860219,4
15,1.832204552,1.693936457,1.587301263,1.62721669,2.584590959,0
16,1.906094193,2.972846546,2.74538348,2.723327255,2.451697816,3
17,1.579390834,2.043952123,1.246766328,1.217753581,2.125234591,0
18,0.42615825,0.36797918,0.291427503,0.303164293,0.357033006,4
19,1.774663124,1.456292551,1.275738443,1.360080034,2.221845346,1
20,1.313399792,1.06254929,1.06254929,1.610188823,1.591057985,2
21,2.043863941,1.769362959,1.592329323,1.76111065,2.545726806,1
22,1.70374525,1.323009788,1.107958532,1.936201553,1.303310019,1
23,1.656824065,2.238004035,2.185345591,2.436725722,1.744390864,3
24,1.220675711,1.666466591,1.141969732,0.992875197,1.940895043,0
25,0.415360977,0.430885295,0.544676087,0.334591584,0.431156152,4
26,1.943464641,2.400871855,3.118343474,1.858298485,2.541337498,3
27,1.444798796,1.250358036,1.445480719,1.038560357,1.102671371,2
28,1.523353168,2.195895094,1.45138084,1.536351488,1.890755771,0
29,0.469789542,0.438659432,0.34620689,0.573578003,0.499487432,4
30,1.989803619,2.631669836,1.903281986,1.747578664,2.565027185,2
31,2.242694081,1.880914557,1.67034284,2.708946447,1.914973506,2
32,0.407467631,0.36240322,0.289145581,0.269468395,0.289695677,4
33,1.704937205,2.199944171,1.726450385,1.524461098,2.187750644,2
34,3.133031397,2.714902556,2.577964138,2.577964138,2.383108242,3
35,0.408590816,0.386441588,0.389299975,0.297158803,0.265709163,4
36,1.772919859,2.119271202,1.566765359,2.089411692,1.518268626,2
37,0.308839637,0.439878847,0.33647193,0.268436914,0.373652286,4
38,1.989012174,2.470526061,1.648376927,2.255451908,1.735361108,2
39,2.307107558,2.79965218,2.27610274,2.930260456,2.206375332,3
40,1.953744899,2.616037039,2.405475647,2.328547437,1.991972278,3
41,2.63718251,3.574639165,2.533039221,2.492313906,2.711503118,3
42,2.725826504,2.837436412,2.783222437,2.451073704,2.477337383,3
43,0.255178012,0.258454846,0.399474207,0.339157805,0.34436228,4
44,1.810697633,1.406312391,1.125411681,1.573140484,1.644331307,0
45,0.973576658,1.516104127,0.997663687,0.973576658,1.424730415,0
46,1.053413998,1.599379556,0.981897746,1.053413998,1.364097104,0
47,1.995285091,1.598368654,1.500540164,1.439135609,1.90179997,0
48,2.086904559,1.618953183,1.261942734,1.261942734,1.728191418,0
49,1.868755979,1.453524689,1.273351892,1.48644005,1.898680334,0
50,1.881901031,1.409492648,1.1696777,1.475281198,1.837051983,0
51,1.890823774,1.391336338,1.154439537,1.490609711,1.815718874,0
52,1.883487784,1.356014142,1.169710859,1.54022712,1.824030973,0
53,1.908303926,1.367741385,1.206196513,1.555637877,1.808562485,0
54,1.921714005,1.368244159,1.282896989,1.603552599,1.823435386,0
55,1.924961761,1.367418383,1.36265237,1.65026738,1.854054006,0
56,2.011707454,1.468750535,1.289159553,1.5297855,1.712965223,0
57,2.063819691,1.541413484,1.250075854,1.438027586,1.640864252,0
58,1.733584045,1.316821688,1.211474413,1.618564635,1.976553205,0
59,1.62655563,1.231834375,1.236301749,1.582179772,1.853786458,1
60,1.26644033,0.863128737,1.025347375,0.863128737,2.017024808,1
61,1.246701785,0.837811712,0.970998723,0.837811712,2.033048751,1
62,1.234568706,0.799664412,0.894643873,0.799664412,2.045121581,1
63,1.238107143,0.793309992,0.885370142,0.793309992,2.045018252,1
64,1.237983707,0.784595254,0.873113909,0.784595254,2.050314931,1
65,1.243629986,0.778905344,0.873360522,0.778905344,2.056295086,1
66,1.252559749,0.780046644,0.892911088,0.780046644,2.064633288,1
67,1.253939977,0.77983048,0.899280167,0.77983048,2.070054469,1
68,1.262476763,0.787116858,0.941488147,0.787116858,2.089152906,1
69,1.274488474,0.801589318,0.995804562,0.801589318,2.102512689,1
70,1.300520436,0.828527645,1.071271075,0.828527645,2.098070586,1
71,1.330653202,0.856584352,1.131590011,0.856584352,2.072143343,1
72,1.340937729,0.865798014,1.142425674,0.865798014,2.054267154,1
73,1.341239035,0.867019566,1.157757595,0.867019566,2.066854665,1
74,1.332989847,0.862378812,1.170677078,0.862378812,2.097304846,1
75,1.357319424,0.884468643,1.21739597,0.884468643,2.075514499,1
76,1.385479473,0.91451174,1.31601637,0.91451174,2.085888654,1
77,1.394484169,0.924914818,1.355407677,0.924914818,2.095469109,1
78,1.417465133,0.948873406,1.432748684,0.948873406,2.101911977,1
79,1.424578833,0.953291916,1.426889808,0.953291916,2.08010238,1
80,2.845282529,2.711134722,1.992180889,2.041554771,2.252913541,2
81,2.893082741,2.713378494,2.00826204,2.056660329,2.267283273,2
82,2.835126899,2.690631817,1.998524889,2.044639772,2.253831815,2
83,2.620551727,2.649596381,1.942847995,1.986356719,2.194252026,2
84,2.560708773,2.660292211,1.921073972,1.962541861,2.169302124,2
85,2.590433177,2.65616139,1.934984782,1.973512464,2.178275935,2
86,2.626957098,2.66273169,1.946504138,1.983325087,2.186897578,2
87,2.66225224,2.659776998,1.959093648,1.996136593,2.199746396,2
88,2.729435362,2.660257511,1.980290964,2.018574077,2.222814205,2
89,2.794127282,2.669882356,1.997273283,2.037160704,2.242312334,2
90,2.952203986,2.714435969,2.037625785,2.074779179,2.277864447,2
91,3.326328312,2.822222663,2.113258938,2.165399359,2.377948747,2
92,2.393915741,2.867931502,1.777857907,1.839867492,2.060760235,2
93,2.448666641,2.843537085,1.844985093,1.860666051,2.051979807,2
94,2.427689676,2.686799415,1.798865085,1.815388953,2.007616209,2
95,2.377502158,2.67191551,1.819043997,1.82606917,2.012060692,2
96,2.331263477,2.593199103,1.815958496,1.814168045,1.994569593,2
97,2.336042238,2.647031469,1.838940827,1.829708276,2.005100636,2
98,2.351371737,2.571766166,1.821730178,1.797672603,1.963752155,2
99,2.360564864,2.710839656,1.858786249,1.841977272,2.012271778,2
100,2.347945069,2.44911981,1.785051742,1.75732319,1.921560315,2
101,2.403540724,2.661565634,1.842029786,1.809283003,1.969472629,2
102,2.436572702,1.859613818,1.533188164,1.533327898,1.719285563,2
103,2.274354508,2.245628039,1.719784955,1.716737993,1.897511091,2
