No,Point A,Point B,Point C,Point D,Point E,Error Classification
1,"0.2807019358965,0.4244344252102","0.4211343666572,0.4556416320459","0.5366010319493,0.4275551458938","0.8549145416735,0.4181929838431","0.6801541833936,0.4244344252102",A
2,"0.9514520023251,0.8831535204871",NULL,"0.9753223788295,0.7120824888718","0.4899580565721,0.5410114572565","0.4422173035632,0.409724386482",C
3,"0.5256835405573,0.2245299934992","0.1309621903588,0.5303057532548","0.2802085009625,0.1866406978221","0.2249766170537,0.616222017113","0.2679347489828,0.8739708086875",B
4,"0.3218181818182,0.41","0.3872727272727,0.81","0.8963636363636,0.3554545454545","0.4236363636364,0.3918181818182","0.8781818181818,0.6463636363636",A
5,"0.2592110836956,0.1869342057736","0.9236032297365,0.0994094919239",NULL,"0.1279240129211,0.8592831439827","0.9076896454002,0.6524065476107",D
6,"0.587052300456,0.2490774974587","0.6729685643142,0.0588343417727","0.8754854719799,0.2541463337106","0.6545579363446,0.5978113891433","0.7834323321318,0.9107920646267",B
7,"0.2188397410638,0.8443544684761","0.1370990663486,0.3963625212156","0.2004291130942,0.1989144498018","0.0082246705614,0.7635070408698",NULL,C
8,"0.3148,0.3020909090909","0.3144,0.1093090909091","0.8963636363636,0.3554545454545","0.3792,0.2545090909091","0.8874,0.2778909090909",A
9,"0.6568924626906,0.9106327291667","0.4948789365581,0.6878641307344","0.77840260729,0.4988483502464","0.4543755550249,0.2423269338698","0.6231396447463,0.1005650985038",B
10,"0.8997328532321,0.8513263518145","0.5536123939174,0.413702782566","0.8082297432983,0.8911103126553","0.4621092839836,0.564881833761","0.4,0.4",C
11,"0.1677079737619,0.9229374813279","0.1279240129211,0.6882121123674","0.2989950445364,0.5489682494247","0.1120104285848,0.2824157117915","0.17566476593,0.0556471349991",B
12,"0.3874,0.2061090909091","0.0486,0.5691090909091","0.3628,0.0609090909091","0.0888,0.5691090909091","0.807,0.2545090909091",A
13,"0.5536123939174,0.5290762690043","0.5058716409084,0.4455299512386","0.6252235234308,0.4733787238272","0.6968346529441,0.6245577750221","0.6252235234308,0.5370330611724",E
14,"0.7286618216168,0.9666998382528","0.8798408728117,0.8035855988056","0.8,0.6","0.6132883351785,0.3460700491367","0.6132883351785,0.3460700491367",B
15,"0.3874,0.2061090909091","0.1208,0.5198909090909","0.3628,0.0609090909091","0.4276,0.3988909090909","0.6134,0.4956909090909",A
